2023-06-27:13:59:29,131 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:13:59:29,135 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:13:59:29,139 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:13:59:29,141 INFO     [logger.py:35] There are no products with category: test
2023-06-27:13:59:29,144 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:13:59:29,155 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:13:59:29,162 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:13:59:29,164 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:13:59:29,166 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:13:59:29,170 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:13:59:29,185 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:13:59:29,187 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:13:59:29,191 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:13:59:29,202 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:13:59:29,206 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:13:59:29,210 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:13:59:29,213 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:13:59:29,224 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:13:59:29,229 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:13:59:29,232 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:13:59:29,236 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:13:59:29,247 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:13:59:29,252 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:13:59:29,256 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:13:59:29,261 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:13:59:29,265 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:13:59:29,268 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:13:59:29,280 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:13:59:29,289 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:13:59:29,297 INFO     [logger.py:35] User 139184 is updated
2023-06-27:13:59:29,300 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:13:59:29,307 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:13:59:40,870 WARNING  [logger.py:40] Product 8383 is not in database
